ticker,total_score,roe_score,roic_score,margin_score,trend_score,health_score,cash_score,pass,current_price,intrinsic_value,gap_pct,recommendation,avg_roe,avg_roic,avg_net_margin,avg_fcf_margin,debt_ratio,eps_cagr,years_data,trust_grade,trust_grade_text,trust_grade_stars,pass_reason,valuation_reason
GRMN,85,25,20,15,0,15,10,PASS,205.77,204.58397384184155,-0.5763843894437747,WAIT,17.355810381894276,13.190543033988916,22.370958522422512,17.829688076011138,22.706914200834362,20.35001862952488,3,2,2등급,★★★★☆,"[GRMN - 총점 85점 / 신뢰등급 2등급 ★★★★☆]

✅ 우량주 통과 이유 (3년 데이터 기준):

- ROE 지속성: 25/25점 - 3년 평균 ROE 17.4%, 지속적 고수익성 달성
- ROIC 지속성: 20/20점 - 3년 평균 ROIC 13.2%, 투자 효율성 우수
- Net Margin 안정: 15/15점 - 평균 22.4%, 수익성 매우 안정적
- 수익성 추세: 0/15점 - 추세 변동 있음
- 재무 건전성: 15/15점 - 부채비율 22.7%, 매우 건전한 재무구조
- 현금창출력: 10/10점 - FCF Margin 17.8%, 우수한 현금창출력 💰

💡 투자 포인트: 지속적 고수익성, 우수한 자본효율, 안정적 수익구조, 건전한 재무, 강한 현금창출","[GRMN - 적정가 분석]

📊 현재 상황:
   • 현재가: $205.77
   • 적정가: $204.58
   • 상승여력: +-0.6%

💰 저평가 근거:

- 높은 성장성: 최근 3년간 EPS 연평균 20.4% 성장
- 성장주 프리미엄: PER 18배 적용 (고성장 기업)
- 보수적 추정: 과거 성장률의 70%만 반영하여 미래 5년 추정
- 안전마진 20%: 이론적 가치의 80%를 적정가로 산정

🎯 매수 포인트:
   • 현재 주가는 적정가 대비 -1% 저평가 상태
   • 적정가 근접 (상승 여력 제한적)
   • 우량주 펀더멘털 + 저평가 = 황금 투자 기회 💰
"
GOOGL,83,25,20,13,0,15,10,FAIL,336.34,325.2665979631944,-3.29232384991544,WAIT,26.750689281440245,19.063832109087816,24.604709470354823,21.53789363730263,38.504509603671664,32.78395591097751,3,2,2등급,★★★★☆,,
GOOG,83,25,20,13,0,15,10,FAIL,336.56,325.2665979631944,-3.355538993583794,WAIT,26.750689281440245,19.063832109087816,24.604709470354823,21.53789363730263,38.504509603671664,32.78395591097751,3,2,2등급,★★★★☆,,
ANET,83,25,20,13,0,15,10,FAIL,145.9833,124.7087554616727,-14.57327279101604,WAIT,28.37681144440603,19.041321891929872,35.73754892289492,32.28141684022413,40.51217797402191,44.53349003739153,3,2,2등급,★★★★☆,,
AMAT,82,25,20,15,0,12,10,FAIL,334.55,82.81782092862343,-75.24500943696803,WAIT,41.87390558280514,22.368589520578144,25.559623605621724,23.540164171481866,77.80553514572618,5.191743203490939,4,1,1등급,★★★★★,,
SNA,82,25,20,12,0,15,10,FAIL,369.6799,202.92896897597018,-45.10684271014729,WAIT,19.87828581887211,14.099237076380456,19.685099867698195,18.379351267572876,45.972451382065586,7.699984046492525,3,2,2등급,★★★★☆,,
EOG,82,25,20,15,0,12,10,FAIL,109.845,90.0,-18.06636624334289,WAIT,26.720869136120836,16.823726220445895,28.81866738740602,22.527507432658634,60.764539538686925,0.0,3,2,2등급,★★★★☆,,
ODFL,82,25,20,15,0,15,7,FAIL,173.47,43.84,-74.72761860840491,WAIT,31.58489580387162,24.193264215302477,21.175417917772645,14.583082088301602,29.374040542921954,0.0,3,2,2등급,★★★★☆,,
PDD,82,25,20,15,0,12,10,FAIL,104.76,11598.806425373903,10971.789256752485,BUY,31.574388940040233,17.633763690709905,25.648169070423474,35.05652935715024,61.19156119358728,86.2029345813737,3,2,2등급,★★★★☆,,
TER,82,25,20,12,0,15,10,FAIL,242.93,26.56,-89.06680936895401,WAIT,22.064205690865222,16.13170307432301,19.55983475160163,15.28581842202982,31.547614402754732,0.0,3,2,2등급,★★★★☆,,
MPWR,80,25,20,10,0,15,10,FAIL,1144.57,7648.133606286689,568.2102104971028,BUY,34.62498455130666,28.184961409074404,42.938355293289305,23.818169010270378,14.982991429435174,101.07446189538676,3,2,2등급,★★★★☆,,
CTAS,79,25,20,12,3,9,10,FAIL,190.19,69.0250964724146,-63.70729456206183,WAIT,36.83446345989954,17.540091038958575,16.231799732575695,16.257338997242506,109.74022522452327,14.743716965949783,4,1,1등급,★★★★★,,
JKHY,79,25,20,12,0,15,7,FAIL,182.885,78.92074150141293,-56.84679361270037,WAIT,22.79350387352582,14.30400543651792,18.18663256422309,14.237118535369664,42.85358958378699,8.098386987445227,4,1,1등급,★★★★★,,
IDXX,79,25,20,15,0,9,10,FAIL,686.485,255.31651893430427,-62.80814308625764,WAIT,74.71165528300155,26.841193671964476,22.00999724706699,17.665378176642843,106.44494215241774,15.272161569377696,3,2,2등급,★★★★☆,,
MSFT,79,25,20,15,0,9,10,FAIL,480.5,197.42708729763777,-58.91215664981525,WAIT,35.309887303641375,18.206295025900385,35.73364072122073,29.140272374374227,80.21567548525529,12.226568954799856,4,1,1등급,★★★★★,,
LRCX,79,25,20,15,0,9,10,FAIL,238.505,52.68669004564124,-77.90960774589999,WAIT,56.86336609788991,24.942578499198895,26.840088547001685,24.89479341133583,116.44782667024553,8.212873820510126,4,1,1등급,★★★★★,,
NVR,79,25,20,12,0,12,10,FAIL,7705.87,4270.916214790319,-44.575807601343925,WAIT,41.87375868602393,27.39231580704003,16.339667798088158,15.259871757928673,51.56481884395326,1.5004748111530297,3,2,2등급,★★★★☆,,
WST,79,25,20,12,0,15,7,FAIL,238.0,53.52000000000001,-77.5126050420168,WAIT,20.262540335492705,14.740873182420415,19.147110317566206,12.941904826143121,35.831189650672925,0.0,3,2,2등급,★★★★☆,,
CDNS,79,25,20,15,0,9,10,FAIL,321.76,54.64824330329582,-83.01583686496275,WAIT,28.031157144014447,16.057397531328665,24.010899761053647,28.649966725658743,92.02593815701803,11.622340620354056,3,2,2등급,★★★★☆,,
META,78,25,20,11,0,12,10,FAIL,675.095,2331.5773230467175,245.3702550080681,BUY,26.0417284085614,17.525718067353235,28.92888438600457,27.359532766183936,51.149000476354736,66.66278614031154,3,2,2등급,★★★★☆,,
LULU,77,25,20,10,3,12,7,FAIL,183.845,472.6084925348533,157.06899428042823,BUY,35.33428444469838,21.368617197565793,14.845429091088226,12.996911469026303,75.83740417252633,25.03158970185668,4,1,1등급,★★★★★,,
ERIE,77,25,20,10,0,15,7,FAIL,272.375,596.3970958444017,118.96176075058347,BUY,25.882361808638148,17.410079920737086,13.16451364970856,10.599369317005886,45.356767968728775,41.792379234946296,3,2,2등급,★★★★☆,,
QCOM,77,25,20,13,0,9,10,FAIL,153.0,71.76,-53.09803921568626,WAIT,47.97555245399477,20.882101586971512,25.162432550986576,23.867736975211105,109.9185506584456,0.0,3,2,2등급,★★★★☆,,
CF,77,25,20,13,0,9,10,FAIL,92.36,53.92000000000001,-41.619748809008215,WAIT,39.117479137839275,23.762634220149113,24.47643264134145,25.130678257321307,117.83350050150452,0.0,3,2,2등급,★★★★☆,,
PG,77,25,20,12,3,7,10,FAIL,148.33,59.51633152070407,-59.87572876646392,WAIT,30.81719551351361,12.997884402947669,18.2275487298254,17.513794462175987,140.25032684765054,3.8647751796379914,4,1,1등급,★★★★★,,
PHM,76,25,20,12,0,15,4,FAIL,124.03,354.15334019866464,185.53845053508397,BUY,26.62001229412354,17.209404242650162,16.579173371018957,8.427009384365801,43.24215943885001,15.50937617989181,3,2,2등급,★★★★☆,,
APH,76,25,20,12,0,9,10,FAIL,142.495,27.607879235943486,-80.62536984740272,WAIT,24.989896893528947,12.657287131087957,15.450165521788188,15.159300951700681,118.30167483660131,12.022406722240774,3,2,2등급,★★★★☆,,
MA,75,25,20,15,0,5,10,FAIL,522.55,346.3445761083399,-33.720299280769325,WAIT,172.58536259667312,27.39447992314079,44.98880667331523,45.680810279670936,640.9560524286816,16.580435936107385,3,2,2등급,★★★★☆,,
WAT,75,25,20,15,0,5,10,FAIL,386.01,85.68,-77.8036838423875,WAIT,77.00146576237505,18.079848063667544,22.366014378030908,16.769991508300706,149.04443898765496,0.0,3,2,2등급,★★★★☆,,
REGN,75,25,10,15,0,15,10,FAIL,755.895,308.4076561364143,-59.199669777361365,WAIT,16.465574365920883,13.004027674212212,32.28355782000798,26.931007506251216,28.636351248228497,0.15686284151634755,3,2,2등급,★★★★☆,,
ASML,75,25,20,15,0,5,10,FAIL,1441.01,254.17480579046278,-82.36134337787642,WAIT,54.361370127797954,16.713473258156768,27.265802940152223,25.92408724566432,162.97627294769657,9.41946713645445,3,2,2등급,★★★★☆,,
TXN,75,25,20,11,0,9,10,FAIL,211.005,41.6,-80.28482737375892,WAIT,42.31272247330639,22.899878048776625,37.17522643266454,15.61706697111453,110.07513459149263,0.0,3,2,2등급,★★★★☆,,
AAPL,75,25,20,15,0,5,10,FAIL,256.485,75.50515045872203,-70.56157262267891,WAIT,167.38534342531239,28.224965980884797,25.375548715320527,26.450369369976396,387.2187487285205,6.880679389561806,4,1,1등급,★★★★★,,
ZTS,75,25,20,15,0,5,10,FAIL,124.38,74.55852844653216,-40.05585428000308,WAIT,49.00548823866033,17.271780172927713,26.818692456972574,20.07013617308144,198.46960167714883,10.374943091087484,3,2,2등급,★★★★☆,,
ROL,74,25,20,10,0,9,10,FAIL,62.515,14.307880683845042,-77.11288381373264,WAIT,33.92611392345835,17.34382154291888,13.862857996906028,16.467077532200545,111.91265849136438,13.137084989847603,3,2,2등급,★★★★☆,,
KLAC,73,25,20,13,0,5,10,FAIL,1615.925,162.24,-89.95993007101197,WAIT,145.01722830336053,24.392422301742908,32.15978702142239,31.742052624299607,358.1966483074095,0.0,3,2,2등급,★★★★☆,,
IT,72,25,20,12,0,5,10,FAIL,234.22,543.4097559739665,132.0082640141604,BUY,192.16893277219802,13.689408272773903,16.565064032551877,19.343448784100524,527.9330237814429,26.74485010489558,3,2,2등급,★★★★☆,,
ITW,72,25,20,12,0,5,10,FAIL,257.865,155.00094256652673,-39.89066272408945,WAIT,100.53741279201664,21.909859856709147,19.78059297581402,16.395880625375828,354.34258142340167,9.479086677100113,3,2,2등급,★★★★☆,,
VLTO,72,25,20,12,0,5,10,FAIL,98.56,26.72,-72.8896103896104,WAIT,42.553060749533735,15.686684649440716,16.700590770352473,17.020258327843955,213.98429833169774,0.0,3,2,2등급,★★★★☆,,
HSY,72,25,20,12,0,5,10,FAIL,190.77,276.98219041773785,45.19169178473441,BUY,47.46096744738852,17.096882206505196,17.42998878983546,16.14900789033159,174.60893206585254,17.12639738685777,3,2,2등급,★★★★☆,,
VRSK,71,25,20,11,0,5,10,FAIL,217.31,65.39128032572427,-69.90875692525688,WAIT,403.0967516006435,20.291559318812844,31.452726516035472,31.439615435517776,4155.544455544456,5.751280528102032,3,2,2등급,★★★★☆,,
SNPS,71,25,10,11,0,15,10,FAIL,511.19,983.5455357060737,92.4031251992554,BUY,21.010761222771563,11.078299485532375,27.132209495061286,27.92257846980172,45.05048660271467,51.88272607550599,3,2,2등급,★★★★☆,,
ACN,71,25,20,10,0,9,7,FAIL,274.64,112.71587778366084,-58.95868126141098,WAIT,27.037435177196777,13.753709584022557,11.02461599096063,14.309613283033125,106.27810867009242,4.294707162088707,4,1,1등급,★★★★★,,
MSI,70,25,20,12,0,3,10,FAIL,406.36,96.597687555199,-76.2285442575059,WAIT,501.21700519827976,13.068945971356023,15.55496040907125,18.291599066501508,756.0775102759836,7.885792680478021,3,2,2등급,★★★★☆,,
FDS,69,25,10,15,0,9,10,FAIL,269.67,245.1846983349708,-9.079727691263107,WAIT,28.526268322233644,13.344127366667239,23.517743343727595,27.238287825578958,96.86454480466408,14.904095738686006,4,1,1등급,★★★★★,,
WSM,69,25,20,10,0,7,7,FAIL,204.85,86.45388201823697,-57.796494011112046,WAIT,57.78586109614845,21.6404416682214,13.376922194116906,13.987280313714637,147.45892376794643,6.0251633264611915,4,1,1등급,★★★★★,,
ON,69,25,10,15,0,12,7,FAIL,65.38,29.04,-55.58274701743652,WAIT,25.558815609960835,15.058801394717243,23.83763346505695,13.870786612043295,59.97112455095266,0.0,3,2,2등급,★★★★☆,,
PAYX,68,25,10,15,3,5,10,FAIL,103.405,45.084366507789724,-56.40020646217327,WAIT,43.586434929419724,14.205042251545107,30.76842585831535,31.5897728917787,301.2621124031008,6.0501819274696,4,1,1등급,★★★★★,,
